experiment_id,alpha,bits,subband_order,image,psnr,ssim,mse,nonblind_ber,nonblind_bit_accuracy,blind_ber,blind_bit_accuracy,blind_exact,t_embed_ms,t_nonblind_ms,t_blind_ms,model_version
matrix-20260918-025538-98a873,0.005,8,LL,0892,47.8625,0.999582,1.063736,0.0,1.0,0.5,0.5,0,2.17,3.37,2.61,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0893,50.3604,0.998314,0.59847,0.0,1.0,0.5,0.5,0,2.2,3.25,2.57,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0894,47.4059,0.998637,1.181666,0.0,1.0,0.25,0.75,0,2.15,3.37,2.61,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0895,48.7051,0.9991,0.876124,0.0,1.0,0.5,0.5,0,2.17,3.26,2.55,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0896,46.7607,0.996688,1.370916,0.0,1.0,0.5,0.5,0,2.15,3.25,2.51,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0897,50.0455,0.999771,0.643468,0.0,1.0,0.5,0.5,0,2.19,3.33,2.53,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0898,46.7642,0.996646,1.369822,0.0,1.0,0.5,0.5,0,2.13,3.36,2.71,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0899,50.2366,0.998462,0.615768,0.0,1.0,0.625,0.375,0,2.18,3.41,2.65,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0900,50.9069,0.997952,0.52771,0.0,1.0,0.5,0.5,0,2.19,3.31,2.59,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,16,LL,0801,48.0498,0.999357,1.018819,0.0,1.0,0.5625,0.4375,0,2.25,3.29,3.27,models/windowed_cnn_grid/16bit_a0.005/windowed_cnn_best.pt@78c5d254bc88
matrix-20260918-025538-98a873,0.005,16,LL,0802,49.2341,0.998149,0.775655,0.0,1.0,0.375,0.625,0,2.16,3.27,3.14,models/windowed_cnn_grid/16bit_a0.005/windowed_cnn_best.pt@78c5d254bc88
matrix-20260918-025538-98a873,0.005,16,LL,0803,47.4636,0.998226,1.166066,0.0,1.0,0.375,0.625,0,2.14,3.2,3.2,models/windowed_cnn_grid/16bit_a0.005/windowed_cnn_best.pt@78c5d254bc88
matrix-20260918-025538-98a873,0.005,16,LL,0804,47.7243,0.999223,1.098129,0.0,1.0,0.1875,0.8125,0,2.23,3.23,3.18,models/windowed_cnn_grid/16bit_a0.005/windowed_cnn_best.pt@78c5d254bc88
matrix-20260918-025538-98a873,0.005,16,LL,0805,47.5255,0.999125,1.149567,0.0,1.0,0.5,0.5,0,2.18,3.3,3.16,models/windowed_cnn_grid/16bit_a0.005/windowed_cnn_best.pt@78c5d254bc88
matrix-20260918-025538-98a873,0.005,16,LL,0806,48.3967,0.996829,0.940608,0.0,1.0,0.4375,0.5625,0,2.15,3.21,3.27,models/windowed_cnn_grid/16bit_a0.005/windowed_cnn_best.pt@78c5d254bc88
matrix-20260918-025538-98a873,0.005,16,LL,0807,49.2824,0.998394,0.767085,0.0,1.0,0.5,0.5,0,2.18,3.36,3.2,models/windowed_cnn_grid/16bit_a0.005/windowed_cnn_best.pt@78c5d254bc88
